start_type,language,architecture,operation,execution_time_ms,memory_size
cold,java,x86,rsa3072_decrypt,200.7394,1500
cold,java,x86,rsa3072_decrypt,194.0011,1500
cold,java,x86,rsa3072_decrypt,176.2446,1500
cold,java,x86,rsa3072_decrypt,201.2853,1500
cold,java,x86,rsa3072_decrypt,182.1637,1500
cold,java,x86,rsa3072_decrypt,165.9492,1500
cold,java,x86,rsa3072_decrypt,162.4803,1500
cold,java,x86,rsa3072_decrypt,197.2737,1500
cold,java,x86,rsa3072_decrypt,194.3392,1500
cold,java,x86,rsa3072_decrypt,162.6485,1500
cold,java,x86,rsa3072_decrypt,184.7287,1500
cold,java,x86,rsa3072_decrypt,145.9339,1500
cold,java,x86,rsa3072_decrypt,234.6976,1500
cold,java,x86,rsa3072_decrypt,150.7574,1500
cold,java,x86,rsa3072_decrypt,164.3979,1500
cold,java,x86,rsa3072_decrypt,163.8096,1500
cold,java,x86,rsa3072_decrypt,154.91,1500
cold,java,x86,rsa3072_decrypt,157.486,1500
cold,java,x86,rsa3072_decrypt,230.5936,1500
cold,java,x86,rsa3072_decrypt,235.7132,1500
cold,java,x86,rsa3072_decrypt,146.4533,1500
cold,java,x86,rsa3072_decrypt,173.0527,1500
cold,java,x86,rsa3072_encrypt,8135.8459,1500
cold,java,x86,rsa3072_encrypt,189.8267,1500
cold,java,x86,rsa3072_encrypt,174.0583,1500
cold,java,x86,rsa3072_encrypt,140.1444,1500
cold,java,x86,rsa3072_encrypt,209.2884,1500
cold,java,x86,rsa3072_encrypt,174.5499,1500
cold,java,x86,rsa3072_encrypt,133.7621,1500
cold,java,x86,rsa3072_encrypt,133.2209,1500
cold,java,x86,rsa3072_encrypt,157.4064,1500
cold,java,x86,rsa3072_encrypt,155.7506,1500
cold,java,x86,rsa3072_encrypt,123.466,1500
cold,java,x86,rsa3072_encrypt,155.5804,1500
cold,java,x86,rsa3072_encrypt,108.9224,1500
cold,java,x86,rsa3072_encrypt,126.2035,1500
cold,java,x86,rsa3072_encrypt,140.142,1500
cold,java,x86,rsa3072_encrypt,162.053,1500
cold,java,x86,rsa3072_encrypt,152.8147,1500
cold,java,x86,rsa3072_encrypt,124.7577,1500
cold,java,x86,rsa3072_encrypt,113.9866,1500
cold,java,x86,rsa3072_encrypt,127.1747,1500
cold,java,x86,rsa3072_encrypt,286.2797,1500
